title;composition;calorie;protein;fat;carbohydrate;categoty;barcode
Готовое блюдо Кронидов в фольге Братвурст колбаски, 250г;Свинина, шпик свиной, вода, нитритно-посолочная смесь (соль, фиксатор окраски-нитрит натрия), молочный белок, крахмал картофельный, клетчатка, стабилизатор (пирофосфат), регуляторы кислотности (трифосфат и ацетат натрия), сахара (декстроза, мальтодекстрин), пряности и экстаркты пряностей (майоран, кориандр, тимьян, перец белый, мускат, сельдерей), усилитель вкуса и аромата (глутамат натрия), антиокислители.;277;12;25;1;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Индейка с тыквой, 300г;Филе индейки, тыква, масло растительное, паприка, тимьян, имбирь, чеснок, соль.;224;8.5;19;4;Готовая еда;Неизвестно
Грудка куриная СытоЕдов су-вид с булгуром и овощами, 300г;Филе куриной грудки, булгур отварной (крупа пшеничная булгур, вода питьевая, соль), бульон из курицы, фасоль зеленая стручковая, перец сладкий, морковь, сливки питьевые, масло подсолнечное, спред растительно-сливочный (масла растительные, масло сливочное, молоко сухое, эмульгатор е471, консервант е200), мука пшеничная, соль, маринад (вода питьевая, регуляторы кислотности (е262, е331, е500), усилитель вкуса и аромата е621, антиокислитель е301), сок лимона, петрушка, перец черный.;120;6.5;6;9;Готовая еда;Неизвестно
Баклажаны ВРК с мясом свинины, 250г;Баклажаны, свинина, перец болгарский, морковь, лук репчатый, вода питьевая, томатная паста, соевый соус (вода питьевая, соевые бобы, соль, пшеница, экстракт ламинарии, дрожжевой экстракт, глюкоза, фруктоза), крахмал кукурузный, сахар, масло соевое рафинированное дезодорированное, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), регулятор кислотности уксусная кислота, усилитель вкуса и аромата глутамат натрия, перец черный молотый.;120;5;9;5.1;Готовая еда;Неизвестно
Папоротник ВРК с мясом свинины, 250г;Папоротник, свинина,  лук репчатый, морковь, вода питьевая, томатная паста, соевый соус (вода питьевая, соевые бобы, соль, пшеница, экстракт ламинарии, дрожжевой экстракт, глюкоза, фруктоза), крахмал кукурузный, сахар, масло соевое рафинированное дезодорированное, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), корейская заправка  «Морковь по-корейски» (масло подсолнечное, соль, сахар, чеснок, декстроза, регуляторы кислотности кислота уксусная и кислота лимонная, перец красный, кориандр, перец черный, подсластитель сахарин, ароматизатор натуральный, краситель натуральный экстракт паприки, эфирное масло кориандра, усилитель вкуса и аромата глутамат натрия, антиокислитель натуральный токоферол),  регулятор кислотности уксусная кислота, усилитель вкуса и аромата глутамат натрия, перец черный молотый.;134;8;9;5.5;Готовая еда;Неизвестно
Стрелки чеснока ВРК с курицей, 250г;Стрелки чеснока, курица, морковь, лук репчатый, вода питьевая, томатная паста, соевый соус (вода питьевая, соевые бобы, соль, пшеница, экстракт ламинарии, дрожжевой экстракт, глюкоза, фруктоза), крахмал кукурузный, сахар, масло соевое рафинированное дезодорированное, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), регулятор кислотности уксусная кислота, усилитель вкуса глутамат натрия, перец черный молотый.;424;14;0.8;10.2;Готовая еда;Неизвестно
Стрелки чеснока ВРК с мясом свинины, 250г;Стрелки чеснока, свинина, морковь, лук репчатый, вода питьевая, томатная паста, соевый соус (вода питьевая, соевые бобы, соль, пшеница, экстракт ламинарии, дрожжевой экстракт, глюкоза, фруктоза), крахмал кукурузный, сахар, масло соевое рафинированное дезодорированное, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), регулятор кислотности уксусная кислота, усилитель вкуса и аромата глутамат натрия, перец черный молотый.;595;10;9;5.7;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Индейка со шпинатом и сыром Фета, 300г;Филе индейки, сыр фета, шпинат, кукурузная мука, соль.;150;19;7.1;1;Готовая еда;Неизвестно
Свинина ВРК в кисло-сладком соусе, 250г;Свинина, перец болгарский, морковь,  вода питьевая, томатная паста, сахар,  крахмал кукурузный, регулятор кислотности уксусная кислота, усилитель вкуса и аромата глутамат натрия, соль (соль поваренная пищевая выварочная экстра, агент антислеживающий), перец черный молотый.;193;14;11;10;Готовая еда;Неизвестно
Готовое блюдо Кронидов в фольге Цыплёнок с рисом и овощным соусом, 325г;Мясо цыпленка (филе), крупа рисовая, вода питьевая, масло растительное,морковь свежая, лук репчатый сушёный, чеснок, соль поваренная пищевая, перец черный молотый.;186;7.5;8.5;20;Готовая еда;Неизвестно
